Show Name,Show Theatre,Show Type,Attendance,Gross,Performances,Date,Average Ticket Price in week
Miss Saigon,Broadway,Musical,11915,518014,8,17/09/1995,43.4758
Show Boat,Gershwin,Musical,13502,796676,8,17/09/1995,59.0043
Smokey Joe'S Cafe,Virginia,Musical,8927,412730,8,17/09/1995,46.2339
Sunset Boulevard,Minskoff,Musical,12072,745239,8,17/09/1995,61.7329
Beauty And The Beast,Palace,Musical,12925,663088,8,24/09/1995,51.3027
Having Our Say,Booth,Play,3416,104626,8,24/09/1995,30.6282
Miss Saigon,Broadway,Musical,12569,559919,8,24/09/1995,44.5476
Show Boat,Gershwin,Musical,14441,854007,8,24/09/1995,59.1377
Smokey Joe'S Cafe,Virginia,Musical,9173,421587,8,24/09/1995,45.9596
Sunset Boulevard,Minskoff,Musical,12575,778134,8,24/09/1995,61.8794
Beauty And The Beast,Palace,Musical,12347,633837,8,01/10/1995,51.3353
Having Our Say,Booth,Play,3897,114236,8,01/10/1995,29.3138
Miss Saigon,Broadway,Musical,12331,543587,8,01/10/1995,44.083
Moon Over Buffalo,Martin Beck,Play,10311,274274,1,01/10/1995,26.6001
Show Boat,Gershwin,Musical,14245,837503,8,01/10/1995,58.7928
Smokey Joe'S Cafe,Virginia,Musical,8398,390044,8,01/10/1995,46.4449
Sunset Boulevard,Minskoff,Musical,12189,753479,8,01/10/1995,61.8163
Beauty And The Beast,Palace,Musical,13300,671027,8,08/10/1995,50.4532
Having Our Say,Booth,Play,4335,126768,8,08/10/1995,29.2429
Miss Saigon,Broadway,Musical,12965,564664,8,08/10/1995,43.553
Moon Over Buffalo,Martin Beck,Play,9704,355142,8,08/10/1995,36.5975
Show Boat,Gershwin,Musical,14100,821028,8,08/10/1995,58.2289
Smokey Joe'S Cafe,Virginia,Musical,9051,416560,8,08/10/1995,46.0236
Sunset Boulevard,Minskoff,Musical,12138,752539,8,08/10/1995,61.9986
Beauty And The Beast,Palace,Musical,13629,689188,8,15/10/1995,50.5678
Garden District,Circle In The Square,Play,3684,78405,7,15/10/1995,21.2826
Having Our Say,Booth,Play,4702,128876,8,15/10/1995,27.4088
Miss Saigon,Broadway,Musical,13249,607607,8,15/10/1995,45.8606
Moon Over Buffalo,Martin Beck,Play,9394,438178,8,15/10/1995,46.6445
Show Boat,Gershwin,Musical,14438,857449,8,15/10/1995,59.3884
Smokey Joe'S Cafe,Virginia,Musical,9222,453329,8,15/10/1995,49.1573
Sunset Boulevard,Minskoff,Musical,12358,762251,8,15/10/1995,61.6808
Beauty And The Beast,Palace,Musical,13090,666444,8,22/10/1995,50.9125
Garden District,Circle In The Square,Play,4131,83833,8,22/10/1995,20.2936
Having Our Say,Booth,Play,4455,124022,8,22/10/1995,27.8388
Miss Saigon,Broadway,Musical,12977,593347,8,22/10/1995,45.723
Moon Over Buffalo,Martin Beck,Play,9543,416123,8,22/10/1995,43.6051
Show Boat,Gershwin,Musical,14397,856441,8,22/10/1995,59.4875
Smokey Joe'S Cafe,Virginia,Musical,9532,450247,8,22/10/1995,47.2353
Sunset Boulevard,Minskoff,Musical,12246,755882,8,22/10/1995,61.7248
Beauty And The Beast,Palace,Musical,13165,663339,8,29/10/1995,50.3866
Garden District,Circle In The Square,Play,3266,75046,8,29/10/1995,22.978
Having Our Say,Booth,Play,4511,131067,8,29/10/1995,29.055
Miss Saigon,Broadway,Musical,12647,567215,8,29/10/1995,44.8498
Moon Over Buffalo,Martin Beck,Play,9680,428099,8,29/10/1995,44.2251
Show Boat,Gershwin,Musical,14349,858485,8,29/10/1995,59.8289
Smokey Joe'S Cafe,Virginia,Musical,9389,464725,8,29/10/1995,49.4968
Sunset Boulevard,Minskoff,Musical,12956,800164,8,29/10/1995,61.7601
Victor/Victoria,Marquis,Musical,11298,639582,7,29/10/1995,56.6102
Beauty And The Beast,Palace,Musical,13120,696326,8,05/11/1995,53.0736
Garden District,Circle In The Square,Play,4515,102772,8,05/11/1995,22.7623
Having Our Say,Booth,Play,4218,123084,8,05/11/1995,29.1807
Master Class,Golden,Play,5550,187789,1,05/11/1995,33.8359
Miss Saigon,Broadway,Musical,11671,536493,8,05/11/1995,45.968
Moon Over Buffalo,Martin Beck,Play,9036,392449,8,05/11/1995,43.4317
Sacrilege,Belasco,Play,4059,100372,5,05/11/1995,24.7283
Show Boat,Gershwin,Musical,13382,771528,8,05/11/1995,57.6542
